Drug,ATC3
s,C09A
s,B03A
s,A12A
s,C03C
Insulin Pump (Self Administering Medication),R05C
Insulin Pump (Self Administering Medication),A10B
Insulin Pump (Self Administering Medication),J01M
Insulin Pump (Self Administering Medication),C03B
Insulin Pump (Self Administering Medication),H04A
Insulin Pump (Self Administering Medication),N03A
Insulin Pump (Self Administering Medication),N05A
Insulin Pump (Self Administering Medication),A01A
Insulin Pump (Self Administering Medication),M01A
Insulin Pump (Self Administering Medication),A12B
Insulin Pump (Self Administering Medication),C01B
Insulin Pump (Self Administering Medication),G02C
Insulin Pump (Self Administering Medication),N02B
Insulin Pump (Self Administering Medication),H02A
Insulin Pump (Self Administering Medication),R05D
Insulin Pump (Self Administering Medication),D07A
Insulin Pump (Self Administering Medication),D06A
Insulin Pump (Self Administering Medication),C02D
Insulin Pump (Self Administering Medication),C03C
Insulin Pump (Self Administering Medication),L03A
Insulin Pump (Self Administering Medication),B01A
Insulin Pump (Self Administering Medication),R06A
Insulin Pump (Self Administering Medication),N02A
Insulin Pump (Self Administering Medication),A06A
Insulin Pump (Self Administering Medication),C05A
Insulin Pump (Self Administering Medication),A09A
Insulin Pump (Self Administering Medication),J01D
Insulin Pump (Self Administering Medication),A02A
Insulin Pump (Self Administering Medication),D01A
Insulin Pump (Self Administering Medication),N05B
Insulin Pump (Self Administering Medication),A11G
Insulin Pump (Self Administering Medication),J01X
Insulin Pump (Self Administering Medication),N07A
Insulin Pump (Self Administering Medication),A10A
Insulin Pump (Self Administering Medication),D11A
Insulin Pump (Self Administering Medication),H03A
Insulin Pump (Self Administering Medication),N06A
Insulin Pump (Self Administering Medication),G04B
Insulin Pump (Self Administering Medication),A12A
Insulin Pump (Self Administering Medication),A03A
Insulin Pump (Self Administering Medication),C01D
Insulin Pump (Self Administering Medication),B05C
Insulin Pump (Self Administering Medication),D04A
Insulin Pump (Self Administering Medication),C03A
Insulin Pump (Self Administering Medication),D06B
Insulin Pump (Self Administering Medication),C07A
Insulin Pump (Self Administering Medication),J07A
Insulin Pump (Self Administering Medication),R03A
Insulin Pump (Self Administering Medication),S01F
Insulin Pump (Self Administering Medication),L02B
Insulin Pump (Self Administering Medication),C09C
Insulin Pump (Self Administering Medication),A11C
Insulin Pump (Self Administering Medication),A07E
Insulin Pump (Self Administering Medication),J01C
Insulin Pump (Self Administering Medication),A04A
Insulin Pump (Self Administering Medication),N05C
Insulin Pump (Self Administering Medication),A12C
Insulin Pump (Self Administering Medication),R01A
Insulin Pump (Self Administering Medication),S01E
Insulin Pump (Self Administering Medication),M05B
Insulin Pump (Self Administering Medication),J01F
Insulin Pump (Self Administering Medication),A07A
Insulin Pump (Self Administering Medication),A03F
Insulin Pump (Self Administering Medication),B03B
Insulin Pump (Self Administering Medication),J05A
Insulin Pump (Self Administering Medication),A02B
Insulin Pump (Self Administering Medication),L04A
Insulin Pump (Self Administering Medication),M04A
Insulin Pump (Self Administering Medication),C08D
Insulin Pump (Self Administering Medication),M03B
Insulin Pump (Self Administering Medication),J01E
Insulin Pump (Self Administering Medication),C01C
Insulin Pump (Self Administering Medication),D10A
Insulin Pump (Self Administering Medication),C03D
Insulin Pump (Self Administering Medication),C01E
Insulin Pump (Self Administering Medication),C10A
Insulin Pump (Self Administering Medication),A05A
Insulin Pump (Self Administering Medication),G03C
Insulin Pump (Self Administering Medication),C09A
Insulin Pump (Self Administering Medication),N04B
Insulin Pump (Self Administering Medication),C08C
Forteo,A10A
Forteo,A02B
Forteo,H05A
Forteo,R03A
Forteo,N02B
Forteo,H03A
Forteo,N06A
Forteo,C03C
Forteo,B01A
i,C04A
i,R05C
i,A10B
i,J01M
i,H05B
i,R02A
i,N03A
i,D05B
i,M02A
i,N05A
i,A01A
i,S01A
i,S01H
i,C02C
i,V04C
i,A12B
i,R03D
i,C01B
i,A07B
i,G02A
i,B06A
i,N02B
i,H02A
i,R05D
i,D07A
i,A03B
i,G03X
i,A11H
i,D06A
i,C02D
i,N02C
i,C03C
i,L03A
i,B01A
i,A11D
i,H01B
i,B02B
i,R01B
i,R06A
i,M03C
i,P02B
i,C02A
i,A06A
i,C05A
i,B02A
i,J01D
i,A02A
i,G04C
i,A11G
i,H03B
i,J01X
i,N07A
i,L01D
i,P01C
i,A16A
i,L01X
i,A10A
i,D11A
i,N06B
i,L01C
i,H03A
i,G04B
i,A12A
i,A03A
i,D05A
i,C01D
i,B03X
i,J01G
i,D04A
i,C03A
i,N01B
i,D06B
i,J01A
i,P03A
i,N07B
i,J02A
i,J07A
i,S01F
i,L02B
i,N07X
i,A11C
i,P01A
i,N06D
i,L01B
i,A07E
i,J01C
i,C09X
i,H01C
i,N05C
i,A12C
i,C01A
i,R01A
i,M03A
i,M05B
i,J04A
i,J01F
i,A07A
i,A03F
i,B03B
i,J05A
i,L04A
i,M04A
i,C08D
i,M03B
i,J01E
i,C01C
i,N04A
i,D10A
i,C03D
i,C05B
i,C10A
i,D08A
i,G03D
i,P01B
i,L02A
i,A07D
i,A05A
i,C09A
i,N04B
i,C08C
i,M01C
Magnesium (oxide/AA chelate),C03C
PreserVision AREDS,A12C
PreserVision AREDS,A01A
PreserVision AREDS,N02A
PreserVision AREDS,L01X
PreserVision AREDS,A12B
PreserVision AREDS,A06A
PreserVision AREDS,C01B
PreserVision AREDS,J01D
PreserVision AREDS,A07A
PreserVision AREDS,L02B
PreserVision AREDS,N02B
PreserVision AREDS,A04A
PreserVision AREDS,C02D
PreserVision AREDS,C10A
PreserVision AREDS,C09C
PreserVision AREDS,C03C
PreserVision AREDS,B01A
axitinib,A12C
axitinib,A01A
axitinib,N02A
axitinib,A06A
axitinib,M03A
axitinib,B05C
axitinib,J01D
axitinib,A07A
axitinib,R03A
axitinib,N02B
axitinib,C07A
axitinib,H04A
axitinib,L03A
axitinib,G04C
axitinib,R05D
axitinib,C03C
axitinib,B01A
Nasonex,C03C
Nasonex,A03F
Nasonex,N03A
Nasonex,B03B
Nasonex,C07A
Nasonex,N05A
Nasonex,A01A
Nasonex,N02A
Nasonex,A06A
Nasonex,J01D
Nasonex,R03A
Nasonex,N05B
Nasonex,A12B
Nasonex,A12A
Nasonex,A12C
Nasonex,D11A
Nasonex,H03A
Nasonex,C08C
Nasonex,B01A
Neurontin,G03D
Neurontin,A12C
Neurontin,A01A
Neurontin,N02A
Neurontin,A10B
Neurontin,A11G
Neurontin,R03D
Neurontin,A06A
Neurontin,A02B
Neurontin,N02B
Neurontin,N03A
Neurontin,C03C
Lasix,B05C
Lasix,C03C
Furo,C03C
Tarceva,A01A
Tarceva,L01X
Tarceva,A06A
Tarceva,C01B
Tarceva,A07A
Tarceva,R03A
Tarceva,N02B
Tarceva,C10A
Tarceva,R05D
Tarceva,C03C
Tarceva,N05C
Keppra,G03D
Keppra,A10A
Keppra,A11G
Keppra,A06A
Keppra,B05C
Keppra,J01D
Keppra,A07A
Keppra,A02A
Keppra,N02B
Keppra,N05C
Keppra,C10A
Keppra,N03A
Keppra,N06A
Keppra,N05B
Keppra,C03C
Keppra,B01A
letrozole 2.5mg,C03C
venetoclax,C03C
venetoclax,B05C
venetoclax,A07A
venetoclax,B03B
venetoclax,V03A
venetoclax,C07A
venetoclax,N02A
venetoclax,A06A
venetoclax,C05A
venetoclax,A02B
venetoclax,M04A
venetoclax,N05B
venetoclax,A07E
venetoclax,A12B
venetoclax,C01B
venetoclax,N02B
venetoclax,A12C
venetoclax,A10A
venetoclax,C02D
venetoclax,A12A
venetoclax,B01A
pirfenidone,A12C
pirfenidone,A10A
pirfenidone,A01A
pirfenidone,A11G
pirfenidone,A06A
pirfenidone,A02A
pirfenidone,N02B
pirfenidone,C10A
pirfenidone,A12A
pirfenidone,N06A
pirfenidone,C03C
pirfenidone,B01A
Venlafaxine (Effexor),C03C
Namenda XR,C03C
lenalidomide,R05C
lenalidomide,B05C
lenalidomide,H04A
lenalidomide,N05A
lenalidomide,A01A
lenalidomide,N02A
lenalidomide,A06A
lenalidomide,C05A
lenalidomide,J01D
lenalidomide,A02B
lenalidomide,A02A
lenalidomide,J01E
lenalidomide,N05B
lenalidomide,A12B
lenalidomide,N02B
lenalidomide,D07A
lenalidomide,A12C
lenalidomide,A10A
lenalidomide,C02D
lenalidomide,C03C
Symbicort,R05C
Symbicort,H01B
Symbicort,J01M
Symbicort,H03A
Symbicort,B05C
Symbicort,D04A
Symbicort,A07A
Symbicort,C03A
Symbicort,A03F
Symbicort,H04A
Symbicort,N03A
Symbicort,B03B
Symbicort,R06A
Symbicort,C07A
Symbicort,N05A
Symbicort,A01A
Symbicort,N02A
Symbicort,J02A
Symbicort,A06A
Symbicort,C05A
Symbicort,J01D
Symbicort,A02B
Symbicort,A02A
Symbicort,R03A
Symbicort,C08D
Symbicort,J01E
Symbicort,C02C
Symbicort,N05B
Symbicort,A07E
Symbicort,A12B
Symbicort,C03D
Symbicort,C08C
Symbicort,N02B
Symbicort,A04A
Symbicort,C05B
Symbicort,C10A
Symbicort,D07A
Symbicort,A03B
Symbicort,N05C
Symbicort,A12C
Symbicort,A10A
Symbicort,A05A
Symbicort,D11A
Symbicort,R01A
Symbicort,C02D
Symbicort,N04B
Symbicort,A12A
Symbicort,C03C
Symbicort,B01A
methenamine hippurate,A12C
methenamine hippurate,A10A
methenamine hippurate,N02A
methenamine hippurate,A01A
methenamine hippurate,J01M
methenamine hippurate,A06A
methenamine hippurate,C01B
methenamine hippurate,D04A
methenamine hippurate,R03A
methenamine hippurate,N03A
methenamine hippurate,A12A
methenamine hippurate,N05B
methenamine hippurate,C03C
methenamine hippurate,A03B
esomeprazole magnesium,A12C
esomeprazole magnesium,N05A
esomeprazole magnesium,N02A
esomeprazole magnesium,A01A
esomeprazole magnesium,R05C
esomeprazole magnesium,A07E
esomeprazole magnesium,A11G
esomeprazole magnesium,A06A
esomeprazole magnesium,A02B
esomeprazole magnesium,R03A
esomeprazole magnesium,N02B
esomeprazole magnesium,A04A
esomeprazole magnesium,N03A
esomeprazole magnesium,A12A
esomeprazole magnesium,C09C
esomeprazole magnesium,C03C
Apidra SoloStar U-100 Insulin    ** Non-Formulary **,C03C
Apidra SoloStar U-100 Insulin    ** Non-Formulary **,B01A
Lactobacillus acidophilus,N03A
Lactobacillus acidophilus,C03C
Morphine Sulfate,A12C
Morphine Sulfate,N02A
Morphine Sulfate,A12B
Morphine Sulfate,A06A
Morphine Sulfate,B05C
Morphine Sulfate,A02B
Morphine Sulfate,A07A
Morphine Sulfate,C08C
Morphine Sulfate,N03A
Morphine Sulfate,C03C
Morphine Sulfate,B01A
Trelegy Ellipta,A01A
Trelegy Ellipta,A10A
Trelegy Ellipta,N02A
Trelegy Ellipta,R01A
Trelegy Ellipta,A06A
Trelegy Ellipta,C01B
Trelegy Ellipta,A12A
Trelegy Ellipta,C03C
Trelegy Ellipta,C07A
Deslansoprazole (Dexilant),C03C
Lipram-UL20,A12C
Lipram-UL20,A06A
Lipram-UL20,N01A
Lipram-UL20,R03A
Lipram-UL20,C03C
Tudorza Pressair,R03A
Tudorza Pressair,N03A
Tudorza Pressair,C02C
Tudorza Pressair,G04C
Tudorza Pressair,C03C
Dextrose 50%,A12C
Dextrose 50%,A01A
Dextrose 50%,A12B
Dextrose 50%,A06A
Dextrose 50%,N01A
Dextrose 50%,B05C
Dextrose 50%,A07A
Dextrose 50%,A02A
Dextrose 50%,C08C
Dextrose 50%,C07A
Dextrose 50%,N02B
Dextrose 50%,A12A
Dextrose 50%,C03C
Dextrose 50%,B01A
Levemir,A10B
Levemir,H01B
Levemir,J01M
Levemir,C01D
Levemir,B05C
Levemir,D04A
Levemir,A07A
Levemir,H04A
Levemir,N03A
Levemir,J05A
Levemir,V03A
Levemir,C07A
Levemir,N05A
Levemir,A01A
Levemir,N02A
Levemir,C02A
Levemir,A06A
Levemir,J01D
Levemir,A02B
Levemir,A02A
Levemir,R03A
Levemir,D01A
Levemir,J01E
Levemir,N05B
Levemir,C09C
Levemir,C01C
Levemir,A12B
Levemir,N02B
Levemir,A04A
Levemir,C10A
Levemir,D07A
Levemir,N05C
Levemir,A12C
Levemir,A10A
Levemir,A07D
Levemir,C01A
Levemir,C09A
Levemir,B03A
Levemir,C02D
Levemir,N06A
Levemir,C03C
Levemir,B01A
Furosemide-Heart Failure,C03C
AZILECT(rasagilne),C03C
o,C04A
o,J01M
o,C03B
o,N01A
o,R02A
o,H04A
o,D05B
o,G03A
o,N05A
o,M01A
o,S01A
o,S01H
o,C02C
o,G03B
o,A12B
o,R03D
o,C01B
o,A07B
o,G02A
o,B06A
o,G02C
o,N02B
o,H02A
o,J06B
o,R05D
o,D07A
o,A03B
o,G03X
o,A11H
o,H05A
o,C03C
o,H01B
o,B02B
o,R01B
o,R06A
o,M03C
o,C02A
o,A06A
o,B02A
o,A09A
o,S01K
o,A02A
o,D01A
o,G04C
o,N05B
o,A11G
o,H03B
o,J01X
o,N07A
o,P01C
o,A16A
o,L01X
o,A10A
o,D11A
o,N06B
o,H03A
o,N06A
o,D05A
o,C01D
o,B03X
o,J01G
o,B05C
o,C03X
o,C03A
o,D06B
o,C07A
o,N07B
o,J07A
o,R03A
o,S01F
o,L02B
o,N07X
o,A11C
o,P01A
o,L01B
o,A04A
o,H01C
o,N05C
o,A12C
o,C01A
o,R01A
o,M03A
o,A14A
o,S01E
o,M05B
o,G01A
o,J01F
o,A03F
o,B03B
o,A02B
o,L04A
o,M04A
o,J01E
o,P02C
o,N04A
o,C03D
o,C01E
o,C05B
o,G03D
o,L02A
o,A07D
o,A05A
o,G03C
o,C09A
o,B03A
o,N04B
crizotinib,N05A
crizotinib,N02A
crizotinib,H03A
crizotinib,A06A
crizotinib,B02B
crizotinib,R03A
crizotinib,N02B
crizotinib,A12A
crizotinib,C03C
crizotinib,B01A
fenofibrate,N02B
fenofibrate,C02D
fenofibrate,C10A
fenofibrate,J01E
fenofibrate,N06A
fenofibrate,C03C
fenofibrate,D01A
fenofibrate,B01A
Advair HFA,A12B
Advair HFA,R01A
Advair HFA,A06A
Advair HFA,C05A
Advair HFA,B05C
Advair HFA,D04A
Advair HFA,A02B
Advair HFA,C01E
Advair HFA,D07A
Advair HFA,N02B
Advair HFA,R03A
Advair HFA,C07A
Advair HFA,A12A
Advair HFA,N05B
Advair HFA,C03C
Advair HFA,B01A
Icosapent Ethyl,C03C
Sodium Chloride 0.9%  (Mini Bag Plus),R05C
Sodium Chloride 0.9%  (Mini Bag Plus),A11D
Sodium Chloride 0.9%  (Mini Bag Plus),J01M
Sodium Chloride 0.9%  (Mini Bag Plus),C03C
Sodium Chloride 0.9%  (Mini Bag Plus),C03B
Sodium Chloride 0.9%  (Mini Bag Plus),N01A
Sodium Chloride 0.9%  (Mini Bag Plus),B02B
Sodium Chloride 0.9%  (Mini Bag Plus),B05C
Sodium Chloride 0.9%  (Mini Bag Plus),J01F
Sodium Chloride 0.9%  (Mini Bag Plus),D04A
Sodium Chloride 0.9%  (Mini Bag Plus),A07A
Sodium Chloride 0.9%  (Mini Bag Plus),C03A
Sodium Chloride 0.9%  (Mini Bag Plus),N03A
Sodium Chloride 0.9%  (Mini Bag Plus),B03B
Sodium Chloride 0.9%  (Mini Bag Plus),C07A
Sodium Chloride 0.9%  (Mini Bag Plus),N05A
Sodium Chloride 0.9%  (Mini Bag Plus),A01A
Sodium Chloride 0.9%  (Mini Bag Plus),N02A
Sodium Chloride 0.9%  (Mini Bag Plus),C02A
Sodium Chloride 0.9%  (Mini Bag Plus),A06A
Sodium Chloride 0.9%  (Mini Bag Plus),C05A
Sodium Chloride 0.9%  (Mini Bag Plus),J01D
Sodium Chloride 0.9%  (Mini Bag Plus),A02B
Sodium Chloride 0.9%  (Mini Bag Plus),A02A
Sodium Chloride 0.9%  (Mini Bag Plus),R03A
Sodium Chloride 0.9%  (Mini Bag Plus),D01A
Sodium Chloride 0.9%  (Mini Bag Plus),N05B
Sodium Chloride 0.9%  (Mini Bag Plus),C09C
Sodium Chloride 0.9%  (Mini Bag Plus),C01C
Sodium Chloride 0.9%  (Mini Bag Plus),A07E
Sodium Chloride 0.9%  (Mini Bag Plus),A12B
Sodium Chloride 0.9%  (Mini Bag Plus),J01C
Sodium Chloride 0.9%  (Mini Bag Plus),C03D
Sodium Chloride 0.9%  (Mini Bag Plus),C01E
Sodium Chloride 0.9%  (Mini Bag Plus),N02B
Sodium Chloride 0.9%  (Mini Bag Plus),A04A
Sodium Chloride 0.9%  (Mini Bag Plus),D07A
Sodium Chloride 0.9%  (Mini Bag Plus),N05C
Sodium Chloride 0.9%  (Mini Bag Plus),A12C
Sodium Chloride 0.9%  (Mini Bag Plus),A10A
Sodium Chloride 0.9%  (Mini Bag Plus),A07D
Sodium Chloride 0.9%  (Mini Bag Plus),D11A
Sodium Chloride 0.9%  (Mini Bag Plus),L01X
Sodium Chloride 0.9%  (Mini Bag Plus),B05X
Sodium Chloride 0.9%  (Mini Bag Plus),C09A
Sodium Chloride 0.9%  (Mini Bag Plus),C02D
Sodium Chloride 0.9%  (Mini Bag Plus),N06A
Sodium Chloride 0.9%  (Mini Bag Plus),A12A
Sodium Chloride 0.9%  (Mini Bag Plus),B01A
Opsumit,M04A
Opsumit,J01C
Opsumit,C03C
Opsumit,A07E
Pramlintide (Symlin),N02B
Pramlintide (Symlin),C03C
hypertonic nasal wash,C03C
ambrisentan (Letairis),A02A
ambrisentan (Letairis),C03C
olopatadine,A12C
olopatadine,R01A
olopatadine,A02B
olopatadine,A12A
olopatadine,C03C
olopatadine,B01A
Cabometyx,A06A
Cabometyx,N02A
Cabometyx,C03C
Cabometyx,A07E
Avodart,J01M
Avodart,C03C
Avodart,A07A
Avodart,H04A
Avodart,N03A
Avodart,C07A
Avodart,A01A
Avodart,N02A
Avodart,A06A
Avodart,M04A
Avodart,R03A
Avodart,D01A
Avodart,C02C
Avodart,A12B
Avodart,C01B
Avodart,N02B
Avodart,A04A
Avodart,C10A
Avodart,N05C
Avodart,A12C
Avodart,A10A
Avodart,A07D
Avodart,D06A
Avodart,N04B
Avodart,H03A
Avodart,A12A
Avodart,B01A
azelastine,A12C
azelastine,A10A
azelastine,N05A
azelastine,R01A
azelastine,A06A
azelastine,J01D
azelastine,A02B
azelastine,R01B
azelastine,A02A
azelastine,M04A
azelastine,C07A
azelastine,H04A
azelastine,N03A
azelastine,N05B
azelastine,C03C
azelastine,B01A
abiraterone,A12C
abiraterone,A10A
abiraterone,J01M
abiraterone,A07E
abiraterone,A06A
abiraterone,A12A
abiraterone,N06A
abiraterone,C03C
abiraterone,B01A
Adcirca,C03C
Adcirca,A06A
Adcirca,A02A
Adcirca,A11G
Adcirca,C07A
sevelamer carbonate,A12C
sevelamer carbonate,A01A
sevelamer carbonate,A06A
sevelamer carbonate,C01B
sevelamer carbonate,A02B
sevelamer carbonate,C03C
sevelamer carbonate,V03A
Creon 24,A01A
Creon 24,C03C
Creon 24,A07A
Creon 24,A11C
Creon 24,C07A
Theophylline ER,D07A
Theophylline ER,C03C
Casodex (Bicalutamide),C03C
Brincidofovir,J01E
Brincidofovir,C03C
Brincidofovir,A04A
Brincidofovir,B01A
Revatio,A10A
Revatio,A06A
Revatio,A02B
Revatio,C08C
Revatio,C03C
Revatio,P01B
Revatio,C07A
Potassium 10mEq/100mL 100mL IVPB,C03C
Lumigan,A10B
Lumigan,J01M
Lumigan,C03C
Lumigan,B05C
Lumigan,J01F
Lumigan,A07A
Lumigan,N03A
Lumigan,J05A
Lumigan,C07A
Lumigan,N02A
Lumigan,A06A
Lumigan,A09A
Lumigan,J01D
Lumigan,A02B
Lumigan,A02A
Lumigan,C09C
Lumigan,A11C
Lumigan,C01B
Lumigan,C03D
Lumigan,C08C
Lumigan,N02B
Lumigan,A04A
Lumigan,A10A
Lumigan,S01E
Lumigan,H03A
Lumigan,N06A
Lumigan,A12A
Lumigan,B01A
Stalevo 150,A12C
Stalevo 150,N02A
Stalevo 150,J01M
Stalevo 150,A06A
Stalevo 150,A02B
Stalevo 150,A02A
Stalevo 150,H04A
Stalevo 150,N02B
Stalevo 150,N06A
Stalevo 150,C03C
patiromer calcium sorbitex,A10A
patiromer calcium sorbitex,C03B
patiromer calcium sorbitex,A02A
patiromer calcium sorbitex,N05B
patiromer calcium sorbitex,C03C
Bystolic,J01M
Bystolic,C03C
Bystolic,C01D
Bystolic,N02A
Bystolic,C02A
Bystolic,J01D
Bystolic,A02B
Bystolic,A02A
Bystolic,M04A
Bystolic,C09C
Bystolic,N05B
Bystolic,A11G
Bystolic,A12B
Bystolic,C01E
Bystolic,N02B
Bystolic,A12C
Bystolic,A10A
Bystolic,C02D
Bystolic,C08C
Bystolic,B01A
Sunitinib,A12C
Sunitinib,L01X
Sunitinib,C03C
Sunitinib,R03D
Sunitinib,R03A
Sunitinib,N02B
Sunitinib,A12A
Alaway (ketotifen fumarate),C03C
Creon 20,A01A
Creon 20,C02A
Creon 20,C05A
Creon 20,C01B
Creon 20,C03C
Creon 20,B01A
solifenacin,A12C
solifenacin,A06A
solifenacin,C10A
solifenacin,G04B
solifenacin,C03C
Ethiodol,C03C
Pulmicort Flexhaler,A10B
Pulmicort Flexhaler,C03C
Pulmicort Flexhaler,A07A
Pulmicort Flexhaler,A03F
Pulmicort Flexhaler,N03A
Pulmicort Flexhaler,B03B
Pulmicort Flexhaler,J05A
Pulmicort Flexhaler,C07A
Pulmicort Flexhaler,A01A
Pulmicort Flexhaler,N02A
Pulmicort Flexhaler,M01A
Pulmicort Flexhaler,A06A
Pulmicort Flexhaler,C05A
Pulmicort Flexhaler,A02B
Pulmicort Flexhaler,R03A
Pulmicort Flexhaler,N05B
Pulmicort Flexhaler,A07E
Pulmicort Flexhaler,C01B
Pulmicort Flexhaler,J01C
Pulmicort Flexhaler,D10A
Pulmicort Flexhaler,N02B
Pulmicort Flexhaler,A04A
Pulmicort Flexhaler,D07A
Pulmicort Flexhaler,A03B
Pulmicort Flexhaler,H01C
Pulmicort Flexhaler,A12C
Pulmicort Flexhaler,A10A
Pulmicort Flexhaler,N06A
Pulmicort Flexhaler,A12A
Pulmicort Flexhaler,B01A
Vasopressin (for dilution),A12C
Vasopressin (for dilution),A10A
Vasopressin (for dilution),A01A
Vasopressin (for dilution),C01C
Vasopressin (for dilution),A06A
Vasopressin (for dilution),N01A
Vasopressin (for dilution),A07A
Vasopressin (for dilution),A04A
Vasopressin (for dilution),A12A
Vasopressin (for dilution),C03C
Enablex,N07B
Enablex,A01A
Enablex,A10A
Enablex,N02A
Enablex,C01C
Enablex,A06A
Enablex,S01E
Enablex,D04A
Enablex,L02B
Enablex,A03F
Enablex,N02B
Enablex,A04A
Enablex,H02A
Enablex,N04B
Enablex,H03A
Enablex,C03C
Enablex,C07A
Baclofen,A12C
Baclofen,A10A
Baclofen,N02A
Baclofen,A01A
Baclofen,M03B
Baclofen,A06A
Baclofen,B05C
Baclofen,A07A
Baclofen,D06B
Baclofen,N03A
Baclofen,C03C
Furosemide 40mg/4mL 4mL VIAL,A12A
Furosemide 40mg/4mL 4mL VIAL,A06A
Furosemide 40mg/4mL 4mL VIAL,C03C
Furosemide 40mg/4mL 4mL VIAL,B01A
Combigan,J01M
Combigan,C03C
Combigan,B05C
Combigan,D04A
Combigan,H04A
Combigan,V03A
Combigan,C07A
Combigan,A01A
Combigan,N02A
Combigan,A06A
Combigan,A02B
Combigan,A02A
Combigan,M04A
Combigan,N05B
Combigan,C09C
Combigan,A07E
Combigan,A12B
Combigan,J01C
Combigan,N02B
Combigan,A04A
Combigan,C10A
Combigan,A03B
Combigan,N05C
Combigan,A12C
Combigan,A10A
Combigan,D11A
Combigan,C01A
Combigan,S01E
Combigan,C09A
Combigan,C02D
Combigan,H03A
Combigan,N06A
Combigan,G04B
Combigan,A12A
Combigan,B01A
Namenda,N06D
Namenda,C03C
Namenda,A07E
Namenda,N02B
Namenda,A04A
Namenda,N06A
Namenda,A12A
Namenda,B01A
galantamine,N06D
galantamine,A06A
galantamine,B05C
galantamine,C09A
galantamine,N02B
galantamine,D06B
galantamine,C10A
galantamine,C03C
Furosemide Rapid Oral Densitization ,C03C
Zeasorb(miconazole nitrate 2%,R01A
Atrovent,R01A
Atrovent,B05C
Atrovent,N02B
Atrovent,A03B
Atrovent,B01A
Naphazoline-Pheniramine Ophth. Solution,R01A
Minastrin 24 Fe,R01A
Minastrin 24 Fe,N02B
Minastrin 24 Fe,R05C
Ipratropium Bromide Neb,A12B
Ipratropium Bromide Neb,R01A
Ipratropium Bromide Neb,A06A
Ipratropium Bromide Neb,A02B
Ipratropium Bromide Neb,R03A
Ipratropium Bromide Neb,B01A
AtroVENT HFA,R01A
oxymeta,R01A
Afrin,R01A
Ruxolitinib (Jakafi),R01A
Olopatadine,R01A
Prenatal Gummies,R01A
Ilevro,R01A
Ilevro,N02B
Patanol,C01D
Patanol,R01A
oxymet,R01A
Protamine Sulfate,R01A
Protamine Sulfate,B01A
Atrovent HFA,A02B
Atrovent HFA,R01A
IPRATROPIUM BROMIDE NEB,R01A
Ocuvite PreserVision,R01A
Astelin,R01A
Astelin,D11A
Astelin,A01A
Nasacort AQ,R01A
Nasacort AQ,L04A
Nasacort AQ,A02A
Nasacort AQ,C10A
Nasacort AQ,B01A
Mucinex,R01A
Mucinex,D07A
Mucinex,R05C
Oxymetazoline,R01A
olopatadine 0.7%,R01A
Paricalcitol (ZEMplar) ,R01A
Symbicort 160-4.5mcg,R01A
Symbicort 160-4.5mcg,R03A
Symbicort 160-4.5mcg,B05C
Symbicort 160-4.5mcg,C07A
Stalevo 100,N02A
Stalevo 100,A12B
Stalevo 100,R01A
Stalevo 100,N03A
Stalevo 100,A02A
Stalevo 100,N02B
Stalevo 100,A04A
Stalevo 100,N04B
Stalevo 100,N05B
Stalevo 100,A12A
Stalevo 100,B01A
Velivet Triphasic Regimen (28),R01A
arformoteroL 15 mcg/2 mL,R01A
Adderall 10mg,R01A
I,A10B
I,A10A
I,J01M
I,R01A
I,B03X
I,J01X
I,D04A
I,C01E
I,L01D
I,B03B
I,P01C
I,C08C
b,C04A
b,L01X
b,D11A
b,P02C
b,R01A
b,C05A
b,A07B
b,J01G
b,B03X
b,C01E
b,A02A
b,R03A
b,L01C
b,L01D
b,N03A
b,G04B
Feosol Bifera,R01A
 ,C04A
 ,J01M
 ,C01D
 ,B03X
 ,J01G
 ,B05C
 ,N01B
 ,B03B
 ,M03C
 ,D05B
 ,V03A
 ,C07A
 ,N07B
 ,M02A
 ,G03A
 ,N02A
 ,C02A
 ,S01A
 ,J07A
 ,B02A
 ,A09A
 ,S01K
 ,A02A
 ,R03A
 ,S01H
 ,S01F
 ,L02B
 ,J01E
 ,P01A
 ,A12B
 ,R03D
 ,C01B
 ,A07B
 ,N04A
 ,J01X
 ,G02A
 ,C08C
 ,C05B
 ,H02A
 ,D08A
 ,R05D
 ,D07A
 ,A03B
 ,N05C
 ,H01C
 ,A12C
 ,A10A
 ,G03D
 ,P01B
 ,G03C
 ,L02A
 ,R01A
 ,M03A
 ,S01E
 ,M05B
 ,B03A
 ,L01C
 ,N02C
 ,N04B
 ,H03A
 ,G01A
 ,A12A
 ,D05A
Oxymetazoline HCl,R01A
brimonidine,B05C
brimonidine,D04A
brimonidine,N03A
brimonidine,C07A
brimonidine,A01A
brimonidine,N02A
brimonidine,A06A
brimonidine,N05B
brimonidine,C09C
brimonidine,A07E
brimonidine,A12B
brimonidine,C01B
brimonidine,N02B
brimonidine,A12C
brimonidine,A10A
brimonidine,D11A
brimonidine,R01A
brimonidine,S01E
brimonidine,A12A
brimonidine,N06A
brimonidine,C08C
brimonidine,B01A
AndroGel 1.62%,R01A
AndroGel 1.62%,N06A
AndroGel 1.62%,B05C
AndroGel 1.62%,B01A
levalbuterol tartrate,R01A
levalbuterol tartrate,A06A
levalbuterol tartrate,A12A
